5, 5.237, 20081118
4, 2.532, 20081118
6, 2.689, 20081118
7, 1.579, 20081118
9, 3.862, 20081118
8, 2.376, 20081118
3, 2.642, 20081118
16, 20.155, 20081118
8, 1.838, 20081118
13, 21.069, 20081118
5, 20.949, 20081118
18, 14.03, 20081118
17, 10.708, 20081118
5, 15.496, 20081118
7, 16.05, 20081118
16, 9.006, 20081118
2, 13.008, 20081118
10, 11.166, 20081118
13, 7.679, 20081118
4, 18.499, 20081118
6, 6.912, 20081118
18, 8.49, 20081118
12, 5.84, 20081123
17, 3.575, 20081123
9, 5.352, 20081123
15, 2.331, 20081123
13, 12.869, 20081124
3, 0.901, 20081124
11, 0.541, 20081124
11, 5.079, 20081124
11, 9.681, 20081124
4, 5.069, 20081124
4, 10.028, 20081124
