E, 2.609, 20081118
F#m, 2.343, 20081118
F#m, 1.438, 20081118
7, 5.066, 20081118
F, 12.006, 20081118
Abm, 9.953, 20081118
G#, 8.29, 20081118
Bbm, 9.382, 20081118
C#, 4.522, 20081118
Gbm, 14.263, 20081118
F#m, 7.914, 20081118
B, 7.085, 20081118
B, 5.611, 20081118
A#m, 13.207, 20081118
Db, 12.98, 20081118
B, 5.568, 20081118
F#, 3.489, 20081118
Ab, 9.625, 20081118
Em, 5.697, 20081118
F, 2.055, 20081118
Gb, 7.223, 20081118
F, 2.319, 20081118
G, 2.76, 20081118
G#m, 7.473, 20081118
Abm, 7.432, 20081118
Em, 3.431, 20081118
Gbm, 8.012, 20081118
D#, 5.979, 20081118
Eb, 8.11, 20081118
Dbm, 7.154, 20081118
A#, 9.244, 20081118
Cm, 3.732, 20081118
C, 1.554, 20081118
Gbm, 9.916, 20081118
F, 6.246, 20081118
Cm, 5.232, 20081118
B, 6.682, 20081118
Cm, 2.831, 20081118
Db, 6.476, 20081118
D#m, 7.726, 20081118
D, 5.159, 20081118
Dbm, 8.156, 20081118
Eb, 6.59, 20081118
Gb, 15.693, 20081118
Em, 12.219, 20081118
G#m, 6.621, 20081118
C#m, 7.612, 20081118
F#m, 8.165, 20081118
Bbm, 6.481, 20081123
Ab, 1.291, 20081123
Am, 2.683, 20081123
Fm, 2.518, 20081123
C#, 1.294, 20081123
G#m, 1.004, 20081123
Ab, 2.327, 20081123
F#, 1.892, 20081123
Abm, 5.331, 20081123
dm, 1.621, 20081123
ebm, 1.385, 20081123
A, 0.87, 20081123
Cm, 0.845, 20081123
C, 0.774, 20081123
gbm, 0.919, 20081123
Cm, 1.937, 20081123
E, 2.093, 20081123
F, 6.127, 20081123
c#m, 1.91, 20081123
D, 1.692, 20081123
Ab, 1.624, 20081123
A, 3.514, 20081124
C#, 2.813, 20081124
Eb, 5.842, 20081124
Db, 4.121, 20081124
C#, 2.893, 20081124
gbm, 5.345, 20081124
D#, 3.381, 20081124
fm, 4.413, 20081124
bbm, 4.353, 20081124
dm, 4.908, 20081124
Eb, 3.3, 20081124
B, 2.823, 20081124
dm, 3.499, 20081124
dm, 5.816, 20081124
gm, 3.199, 20081124
Db, 3.258, 20081124
dm, 6.977, 20081124
B, 2.604, 20081124
bm, 5.553, 20081124
Ab, 4.401, 20081124
Bb, 8.345, 20081124
D, 3.307, 20081124
B, 3.56, 20081124
bm, 8.756, 20081124
C#, 2.045, 20081124
bm, 4.079, 20081124
g#m, 6.952, 20081124
Bb, 3.591, 20081124
fm, 3.904, 20081124
fm, 2.338, 20081124
bm, 4.647, 20081124
abm, 6.014, 20081124
gm, 4.76, 20081124
F#, 2.552, 20081124
ebm, 5.67, 20081124
a#m, 5.981, 20081124
f#m, 3.559, 20081124
dm, 4.184, 20081124
Gb, 7.726, 20081124
ebm, 5.539, 20081124
C#, 2.055, 20081124
gm, 5.132, 20081124
E, 2.969, 20081124
dm, 7.934, 20081124
em, 2.872, 20081124
Gb, 4.431, 20081124
E, 4.477, 20081124
fm, 2.787, 20081124
bbm, 5.816, 20081124
F, 1.936, 20081124
G, 1.679, 20081124
Eb, 3.304, 20081124
G#, 4.908, 20081124
Gb, 3.673, 20081124
Eb, 3.78, 20081124
dbm, 6.163, 20081124
bbm, 8.672, 20081124
f#m, 4.77, 20081124
fm, 2.567, 20081124
G, 1.762, 20081124
Eb, 5.338, 20081124
g#m, 7.175, 20081124
Gb, 3.318, 20081124
gbm, 2.777, 20081124
dm, 4.094, 20081124
Eb, 2.598, 20081124
em, 4.372, 20081124
f#m, 3.444, 20081124
gbm, 8.488, 20081124
abm, 6.722, 20081124
Cm, 3.69, 20081124
